>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:54 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:55 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:55 | Date : 04.02.2015 ] 
>>System Error :: Message => Illegal string offset 'times' | ErrorNo => 2 | ErrorFile => 54 | ErrorLine  => C:\xampp\htdocs\framework\vendor\src\ozsa-src\Cache\cacheDrivers\fileCache.php |  [ Time : 11:55 | Date : 04.02.2015 ] 
